Timestamp (s),Time Format (HH:MM:SS),Value
0.000,00:00:00,
2.000,00:00:02,5578.0
4.000,00:00:04,5578.0
6.000,00:00:06,5578.0
8.000,00:00:08,5578.0
10.000,00:00:10,5578.0
12.000,00:00:12,5578.0
14.000,00:00:14,5578.0
16.000,00:00:16,5578.0
18.000,00:00:18,5578.0
20.000,00:00:20,5578.0
24.000,00:00:24,
22.000,00:00:22,5578.0
26.000,00:00:26,
28.000,00:00:28,
30.000,00:00:30,
32.000,00:00:32,
34.000,00:00:34,
36.000,00:00:36,7
38.000,00:00:38,
40.000,00:00:40,
42.000,00:00:42,
44.000,00:00:44,
46.000,00:00:46,
48.000,00:00:48,
50.000,00:00:50,
52.000,00:00:52,
54.000,00:00:54,
56.000,00:00:56,
58.000,00:00:58,
60.000,00:01:00,3578.0
62.000,00:01:02,5578
64.000,00:01:04,5578.0
66.000,00:01:06,5578.0
68.000,00:01:08,5578.0
70.000,00:01:10,5578.0
72.000,00:01:12,5578.0
74.000,00:01:14,5578.0
76.000,00:01:16,5578.0
78.000,00:01:18,5578.0
80.000,00:01:20,5578.0
82.000,00:01:22,5578.0
84.000,00:01:24,5578.0
86.000,00:01:26,5578.0
88.000,00:01:28,5578.0
90.000,00:01:30,5578.0
92.000,00:01:32,5578.0
94.000,00:01:34,5578.0
96.000,00:01:36,5578.0
98.000,00:01:38,5578.0
100.000,00:01:40,5578.0
102.000,00:01:42,5578.0
104.000,00:01:44,5578.0
106.000,00:01:46,5578.0
108.000,00:01:48,5578.0
110.000,00:01:50,5578.0
112.000,00:01:52,5578.0
114.000,00:01:54,5578.0
116.000,00:01:56,5578.0
118.000,00:01:58,5578.0
120.000,00:02:00,5578.0
122.000,00:02:02,5578.0
124.000,00:02:04,5578.0
126.000,00:02:06,5578.0
128.000,00:02:08,5578.0
130.000,00:02:10,5578.0
132.000,00:02:12,5578.0
134.000,00:02:14,5578.0
136.000,00:02:16,5578.0
138.000,00:02:18,5578.0
140.000,00:02:20,5578.0
142.000,00:02:22,5578.0
144.000,00:02:24,5578.0
146.000,00:02:26,5578.0
148.000,00:02:28,5578.0
150.000,00:02:30,5578.0
152.000,00:02:32,5578.0
154.000,00:02:34,5578.0
156.000,00:02:36,5578.0
158.000,00:02:38,5578.0
160.000,00:02:40,5578.0
162.000,00:02:42,5578.0
164.000,00:02:44,5578.0
166.000,00:02:46,5578.0
168.000,00:02:48,5578.0
170.000,00:02:50,5578.0
172.000,00:02:52,5578.0
174.000,00:02:54,5578.0
176.000,00:02:56,5578.0
178.000,00:02:58,5578.0
180.000,00:03:00,5578.0
182.000,00:03:02,5578.0
